,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
25,E:\result\0663_seg.v3dpbd\gold\528_518_154_gold.tiff,-1,-1,-1,0.40277008310249307,0.1981300089047195,0.2763380281690141,-1,0.2658800711168579,0.0,-1,-1.0,-1.0,0.3840749414519906,-1.0,0.1981300089047195
26,E:\result\0663_seg.v3dpbd\gold\538_390_125_gold.tiff,-1,-1,-1,0.31526271893244373,0.21446078431372548,0.1903183023872679,-1,0.26419605499103405,0.0,-1,-1.0,-1.0,0.27936507936507937,-1.0,0.21446078431372548
27,E:\result\0663_seg.v3dpbd\gold\605_526_127_gold.tiff,-1,-1,-1,0.37877906976744186,0.19116698903932947,0.2398230088495575,-1,0.24852232427025553,0.0,-1,-1.0,-1.0,0.39768409625474943,-1.0,0.19116698903932947
28,E:\result\0663_seg.v3dpbd\gold\611_398_128_gold.tiff,-1,-1,-1,0.34285714285714286,0.2716049382716049,0.2165206508135169,-1,0.2718865598027127,0.0,-1,-1.0,-1.0,0.3031312458361093,-1.0,0.2716049382716049
29,E:\result\0663_seg.v3dpbd\gold\643_654_187_gold.tiff,-1,-1,-1,0.0,0.0,0.0,-1,0.3138075313807531,0.0,-1,-1.0,-1.0,0.2934131736526946,-1.0,0.0
30,E:\result\0663_seg.v3dpbd\gold\656_514_154_gold.tiff,-1,-1,-1,0.306058495821727,0.15198983911939035,0.1697459584295612,-1,0.225689322591626,0.0,-1,-1.0,-1.0,0.3515665125834617,-1.0,0.15198983911939035
31,E:\result\0663_seg.v3dpbd\gold\656_526_141_gold.tiff,-1,-1,-1,0.319672131147541,0.17548746518105848,0.1885434657455383,-1,0.23459958932238192,0.0,-1,-1.0,-1.0,0.36865148861646235,-1.0,0.17548746518105848
32,E:\result\0663_seg.v3dpbd\gold\670_526_186_gold.tiff,-1,-1,-1,0.2975488675147378,0.18271507498026834,0.1676328502415459,-1,0.22494236469425843,0.0,-1,-1.0,-1.0,0.34972096731331387,-1.0,0.18271507498026834
33,E:\result\0663_seg.v3dpbd\gold\784_527_141_gold.tiff,-1,-1,-1,0.45188284518828453,0.18339100346020762,0.18092105263157895,-1,0.18463302752293578,0.0,-1,-1.0,-1.0,0.3070054945054945,-1.0,0.18339100346020762
34,E:\result\0663_seg.v3dpbd\gold\784_530_118_gold.tiff,-1,-1,-1,0.45188284518828453,0.18339100346020762,0.18092105263157895,-1,0.18463302752293578,0.0,-1,-1.0,-1.0,0.3070054945054945,-1.0,0.18339100346020762
35,E:\result\0663_seg.v3dpbd\gold\912_525_119_gold.tiff,-1,-1,-1,0.4511986301369863,0.1885424220449601,0.33588370313695487,-1,0.17544279559597895,0.0,-1,-1.0,-1.0,0.26995073891625615,-1.0,0.1885424220449601
36,E:\result\0663_seg.v3dpbd\gold\912_537_107_gold.tiff,-1,-1,-1,0.4511986301369863,0.1885424220449601,0.33588370313695487,-1,0.17544279559597895,0.0,-1,-1.0,-1.0,0.26995073891625615,-1.0,0.1885424220449601
37,E:\result\0664_seg.v3dpbd\gold\170_300_177_gold.tiff,-1,-1,-1,0.08260869565217391,0.274468085106383,0.07861060329067641,-1,0.0,0.0,-1,0.06780821917808219,0.13493064312736444,0.0921619293712317,0.08878048780487804,0.274468085106383
