,ImageName,app1,app2,snake,Advantra,MOST,EnsembleNeuronTracerBasic,Rollerball,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,LCMboost,nctuTW_GD,NeuroStalker,spanningtree,Cwlab_ver1,neutu_autotrace,axis_analyzer,nctuTW,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s,NeuronChaser,neutube
0,E:\result\0663_seg.v3dpbd\gold\1040_537_107_gold.tiff,-1,-1,-1.0,-1,0.4197019867549669,0.29654036243822074,-1.0,0.22452504317789293,-1,0.11209335219236209,0.0,-1.0,-1.0,-1,-1,0.24985405720957385,-1.0,-1.0,0.2609280430396772,-1.0,0.3148148148148148,-1.0,0.29654036243822074,-1.0,0.1868625050999592
1,E:\result\0663_seg.v3dpbd\gold\1040_541_96_gold.tiff,-1,-1,-1.0,-1,0.4197019867549669,0.29654036243822074,-1.0,0.22452504317789293,-1,0.11209335219236209,0.0,-1.0,-1.0,-1,-1,0.24985405720957385,-1.0,-1.0,0.2609280430396772,-1.0,0.3148148148148148,-1.0,0.29654036243822074,-1.0,0.1868625050999592
2,E:\result\0663_seg.v3dpbd\gold\1040_543_104_gold.tiff,-1,-1,-1.0,-1,0.4197019867549669,0.29654036243822074,-1.0,0.22452504317789293,-1,0.11209335219236209,0.0,-1.0,-1.0,-1,-1,0.24985405720957385,-1.0,-1.0,0.2609280430396772,-1.0,0.3148148148148148,-1.0,0.29654036243822074,-1.0,0.1868625050999592
3,E:\result\0663_seg.v3dpbd\gold\1168_529_105_gold.tiff,-1,-1,-1.0,-1,0.4690721649484536,0.2541095890410959,-1.0,0.37219343696027635,-1,0.1962925342813611,0.0,-1.0,-1.0,-1,-1,0.2466895537027955,-1.0,-1.0,0.26450742240215924,-1.0,0.30082644628099175,-1.0,0.2541095890410959,-1.0,0.3158630328441649
4,E:\result\0663_seg.v3dpbd\gold\1168_541_97_gold.tiff,-1,-1,-1.0,-1,0.4690721649484536,0.2541095890410959,-1.0,0.37219343696027635,-1,0.1962925342813611,0.0,-1.0,-1.0,-1,-1,0.2466895537027955,-1.0,-1.0,0.26450742240215924,-1.0,0.30082644628099175,-1.0,0.2541095890410959,-1.0,0.3158630328441649
5,E:\result\0663_seg.v3dpbd\gold\1296_495_149_gold.tiff,-1,-1,-1.0,-1,0.10012515644555695,0.11501377410468319,-1.0,0.25037481259370314,-1,0.07672487832808474,0.0,-1.0,-1.0,-1,-1,0.09848484848484848,-1.0,-1.0,0.09393653785736726,-1.0,0.1422513492675405,-1.0,0.11501377410468319,-1.0,0.12138188608776844
6,E:\result\0663_seg.v3dpbd\gold\1296_532_106_gold.tiff,-1,-1,-1.0,-1,0.10012515644555695,0.11501377410468319,-1.0,0.25037481259370314,-1,0.07672487832808474,0.0,-1.0,-1.0,-1,-1,0.09848484848484848,-1.0,-1.0,0.08271092669432918,-1.0,0.1422513492675405,-1.0,0.11501377410468319,-1.0,0.09859689040576412
7,E:\result\0663_seg.v3dpbd\gold\1363_495_249_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.0,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
8,E:\result\0663_seg.v3dpbd\gold\1424_494_147_gold.tiff,-1,-1,-1.0,-1,0.4274099883855981,0.16277561608300908,-1.0,0.1925233644859813,-1,0.11207005965224014,0.0,-1.0,-1.0,-1,-1,0.1673108779679735,-1.0,-1.0,0.210412147505423,-1.0,0.23941368078175895,-1.0,0.16277561608300908,-1.0,0.2974878801234024
9,E:\result\0663_seg.v3dpbd\gold\1424_537_200_gold.tiff,-1,-1,-1.0,-1,0.4364495798319328,0.1732186732186732,-1.0,0.18571428571428572,-1,0.11948790896159317,0.0,-1.0,-1.0,-1,-1,0.17606747496046388,-1.0,-1.0,0.2214572576018359,-1.0,0.24181435866626613,-1.0,0.1732186732186732,-1.0,0.2981891348088531
10,E:\result\0663_seg.v3dpbd\gold\1470_622_203_gold.tiff,-1,-1,-1.0,-1,0.6413427561837456,0.4532803180914513,-1.0,0.3020231213872832,-1,0.37407407407407406,0.0,-1.0,-1.0,-1,-1,0.4532803180914513,-1.0,-1.0,0.5697865353037767,-1.0,0.49920508744038156,-1.0,0.4532803180914513,-1.0,0.5498392282958199
11,E:\result\0663_seg.v3dpbd\gold\1483_494_212_gold.tiff,-1,-1,-1.0,-1,0.4731070496083551,0.3160956690368455,-1.0,0.332579185520362,-1,0.24828457927049477,0.0,-1.0,-1.0,-1,-1,0.3033642691415313,-1.0,-1.0,0.3048824593128391,-1.0,0.40176177709689775,-1.0,0.3160956690368455,-1.0,0.42962962962962964
12,E:\result\0663_seg.v3dpbd\gold\1552_490_177_gold.tiff,-1,-1,-1.0,-1,0.3793352601156069,0.4753246753246753,-1.0,0.33226837060702874,-1,0.32431137724550896,0.0,-1.0,-1.0,-1,-1,0.47472150814053127,-1.0,-1.0,0.32431430689399554,-1.0,0.3485643717196666,-1.0,0.4753246753246753,-1.0,0.375
13,E:\result\0663_seg.v3dpbd\gold\1552_523_190_gold.tiff,-1,-1,-1.0,-1,0.4497354497354497,0.451035254616676,-1.0,0.3398407397893655,-1,0.34509729111026327,0.0,-1.0,-1.0,-1,-1,0.4508060033351862,-1.0,-1.0,0.3721208495363446,-1.0,0.3790466479734897,-1.0,0.451035254616676,-1.0,0.41235632183908044
14,E:\result\0663_seg.v3dpbd\gold\1558_651_226_gold.tiff,-1,-1,-1.0,-1,0.6216216216216216,0.10232558139534884,-1.0,0.5,-1,0.46875,0.0,-1.0,-1.0,-1,-1,0.10232558139534884,-1.0,-1.0,0.3526570048309179,-1.0,0.5043859649122807,-1.0,0.10232558139534884,-1.0,0.5662100456621004
15,E:\result\0663_seg.v3dpbd\gold\1680_506_185_gold.tiff,-1,-1,-1.0,-1,0.4421052631578947,0.4039282664389411,-1.0,0.3198724760892667,-1,0.31992551210428305,0.0,-1.0,-1.0,-1,-1,0.3914759273875296,-1.0,-1.0,0.34423828125,-1.0,0.3077656026679371,-1.0,0.4039282664389411,-1.0,0.34200567644276253
16,E:\result\0663_seg.v3dpbd\gold\1808_460_189_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.6859903381642513,-1,0.43444730077120824,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.6224066390041494,-1.0,0.505464480874317,-1.0,0.0,-1.0,0.564625850340136
17,E:\result\0663_seg.v3dpbd\gold\400_462_141_gold.tiff,-1,-1,-1.0,-1,0.75,0.21573604060913706,-1.0,0.3433583959899749,-1,0.36920529801324503,0.0,-1.0,-1.0,-1,-1,0.2125,-1.0,-1.0,0.3959731543624161,-1.0,0.40540540540540543,-1.0,0.21573604060913706,-1.0,0.4847328244274809
18,E:\result\0663_seg.v3dpbd\gold\410_412_113_gold.tiff,-1,-1,-1.0,-1,0.4144486692015209,0.2064676616915423,-1.0,0.3199691595990748,-1,0.29159212880143115,0.0,-1.0,-1.0,-1,-1,0.19887640449438201,-1.0,-1.0,0.33367822038282463,-1.0,0.3363431151241535,-1.0,0.2064676616915423,-1.0,0.4335347432024169
19,E:\result\0663_seg.v3dpbd\gold\451_334_94_gold.tiff,-1,-1,-1.0,-1,0.2522343594836147,0.11543287327478043,-1.0,0.14672897196261683,-1,0.19905771495877503,0.0,-1.0,-1.0,-1,-1,0.10751565762004175,-1.0,-1.0,0.2170604725670805,-1.0,0.23272035510462905,-1.0,0.11543287327478043,-1.0,0.24363807728557965
20,E:\result\0663_seg.v3dpbd\gold\467_304_91_gold.tiff,-1,-1,-1.0,-1,0.0,0.0,-1.0,0.0,-1,0.0,0.0,-1.0,-1.0,-1,-1,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
