462,379,0,590,507,62,
590,368,0,718,496,62,
483,507,0,611,635,62,
466,251,0,594,379,62,
462,367,0,590,495,62,
718,356,0,846,484,62,
552,496,0,680,624,62,
579,240,0,707,368,62,
355,500,0,483,628,62,
611,508,0,739,636,62,
488,635,0,616,763,62,
494,379,0,622,507,62,
338,258,0,466,386,62,
594,285,0,722,413,62,
461,379,0,589,507,62,
422,123,0,550,251,62,
334,305,0,462,433,62,
590,356,0,718,484,62,
733,484,0,861,612,62,
700,228,0,828,356,62,
553,368,0,681,496,62,
707,188,0,835,316,62,
582,368,0,710,496,62,
627,112,0,755,240,62,
483,496,0,611,624,62,
377,628,0,505,756,62,
360,640,0,488,768,62,
616,673,0,744,801,62,
480,763,0,608,891,62,
491,507,0,619,635,62,
210,245,0,338,373,62,
466,237,0,594,365,62,
368,130,0,496,258,62,
294,138,0,422,266,62,
404,251,0,532,379,62,
206,275,0,334,403,62,
861,544,0,989,672,62,
737,356,0,865,484,62,
705,356,0,833,484,62,
658,100,0,786,228,62,
696,60,0,824,188,62,
631,240,0,759,368,62,
249,631,0,377,759,62,
384,756,0,512,884,62,
369,500,0,497,628,62,
232,664,0,360,792,62,
365,768,0,493,896,62,
488,681,0,616,809,62,
560,801,0,688,929,62,
352,729,0,480,857,62,
477,635,0,605,763,62,
338,224,0,466,352,62,
240,112,0,368,240,62,
368,258,0,496,386,62,
733,560,0,861,688,62,
256,764,0,384,892,62,
366,884,0,494,1012,62,
360,703,0,488,831,62,
237,764,0,365,892,62,
363,896,0,491,1024,62,
311,640,0,439,768,62,
224,742,0,352,870,62,
861,563,0,989,691,62,
250,892,0,378,1020,62,
