name        y_n    ratio(x/y)    overlap_level    count    grey_std    overlap_all
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/15/marker_all_0.marker_color.txt     1   0.85   0.6   476   0.869351    0.35
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/15/marker_all_333.marker_color.txt     1   0.933333   0.361905   184   0.147442    0.219048
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/16/marker_all_115.marker_color.txt     1   0.636364   0.631494   725   3.64266    0.196158
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/16/marker_all_222.marker_color.txt     1   0.857143   0.662698   989   4.45274    0.17251
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/16/marker_all_245.marker_color.txt     1   1   0.67474   795   2.39508    0.371148
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/16/marker_all_338.marker_color.txt     1   0.842105   0.442434   304   0.937142    0.2375
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/16/marker_all_38.marker_color.txt     1   0.85   0.305882   307   0.974958    0.180588
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/17/marker_all_137.marker_color.txt     1   0.857143   0.662698   989   4.45274    0.17251
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/17/marker_all_251.marker_color.txt     1   1   0.617647   515   1.89807    0.336601
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/17/marker_all_310.marker_color.txt     1   0.777778   0.575397   301   2.05531    0.298611
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/18/marker_all_0.marker_color.txt     1   0.916667   0.227273   95   0.351608    0.143939
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/18/marker_all_235.marker_color.txt     1   0.944444   0.710784   914   4.43228    0.19694
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/18/marker_all_357.marker_color.txt     1   1   0.617647   515   1.89807    0.336601
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/18/marker_all_39.marker_color.txt     1   0.954545   0.535714   873   1.53747    0.314935
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/18/marker_all_417.marker_color.txt     1   0.714286   0.664286   192   2.48132    0.342857
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/18/marker_all_6.marker_color.txt     1   0.913043   0.634576   1458   6.56014    0.229679
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker265_with_big_tail.marker_color.txt     1   0.714286   0.084   234   8.28021    0.047561
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_1002.marker_color.txt     1   0.7   0.285714   218   0.270914    0.170313
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_1306.marker_color.txt     1   0.578947   0.368421   229   0.857234    0.0956558
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_2164.marker_color.txt     1   0.863636   0.516746   749   4.31587    0.25792
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_219.marker_color.txt     1   0.681818   0.609091   599   1.57677    0.252104
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_220.marker_color.txt     1   0.894737   0.482972   464   0.63558    0.287307
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_2257.marker_color.txt     1   0.869565   0.594565   1214   2.35509    0.23582
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_2311.marker_color.txt     1   0.904762   0.590226   889   2.77412    0.288636
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_2647.marker_color.txt     1   1   0.488662   656   0.53644    0.194025
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_2848.marker_color.txt     1   0.846154   0.318182   92   1.5955    0.160839
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_3344.marker_color.txt     1   0.965517   0.382389   1100   1.66475    0.140809
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_339.marker_color.txt     1   0.75   0.40162   501   0.531814    0.222667
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_664.marker_color.txt     1   0.916667   0.405303   155   0.77411    0.234848
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_690.marker_color.txt     1   0.833333   0.360417   493   0.536041    0.205417
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/19/marker_all_972.marker_color.txt     1   1   0.478516   378   0.355402    0.295312
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_115.marker_color.txt     1   1   0.54321   88   0.811361    0.54321
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_180.marker_color.txt     1   0.928571   0.612637   281   4.8566    0.385989
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_197.marker_color.txt     1   0.75   0.555556   120   1.50731    0.555556
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_202.marker_color.txt     1   0.8   0.60625   114   1.31015    0.35625
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_342.marker_color.txt     1   0.8   0.525   95   0.667935    0.395833
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_629.marker_color.txt     1   1   0.42   84   1.1039    0.42
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_637.marker_color.txt     1   0.818182   0.454545   91   0.600366    0.306397
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/20/marker_all_646.marker_color.txt     1   0.928571   0.46978   238   15.6843    0.305128
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/21/marker_all_134.marker_color.txt     1   0.789474   0.417544   436   0.537451    0.192835
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/21/marker_all_253.marker_color.txt     1   0.863636   0.720096   1206   2.11441    0.207645
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/21/marker_all_60.marker_color.txt     1   0.909091   0.589773   1145   5.15348    0.337957
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/21/marker_all_610.marker_color.txt     1   0.705882   0.272059   158   3.18395    0.129934
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/glio/21/marker_all_64.marker_color.txt     1   0.863636   0.617225   962   1.74608    0.298758
