name        y_n    ratio(x/y)    overlap_level    count    grey_std    overlap_all
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker40.marker_color.txt     1   0.555556   0.0645833   184   7.65147    0.0191667
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker79.marker_color.txt     1   0.392857   0.150974   111   17.4301    0.0869906
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker8.marker_color.txt     1   0.727273   0.198864   68   12.0031    0.0653846
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker81.marker_color.txt     1   0.464286   0.163462   317   8.5778    0.0108912
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker89.marker_color.txt     1   0.5   0.29321   572   11.434    0.00253434
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker_all_154.marker_color.txt     1   0.5   0.3125   112   14.2536    0.0507937
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker_all_21.marker_color.txt     1   0.6   0.533333   82   13.1402    0.390476
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker_all_211.marker_color.txt     1   0.684211   0.163968   110   15.5288    0.137845
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/17/marker_all_218.marker_color.txt     1   0.714286   0.121429   82   7.69644    0.0207071
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker102.marker_color.txt     0   0.4   0.126   341   18.3227    0.0281307
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker103.marker_color.txt     1   0.714286   0.314286   27   7.83883    0.2
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker109.marker_color.txt     1   0.567568   0.0508366   110   7.85271    0.0261905
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker117.marker_color.txt     1   0.733333   0.193939   64   11.5036    0.193939
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker23.marker_color.txt     1   0.214286   0.380952   32   13.2349    0.380952
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker24.marker_color.txt     1   0.333333   0.5   48   8.85782    0.5
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker35.marker_color.txt     1   0.666667   0.354167   36   1.10841    0.0909091
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker59.marker_color.txt     1   0.75   0.0677083   179   10.107    0.022601
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker60.marker_color.txt     1   0.521739   0.0652174   49   5.27444    0.0591787
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker64.marker_color.txt     0   0.458333   0.109848   348   11.1053    0.0113392
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker71.marker_color.txt     1   0.714286   0.528571   96   14.0832    0.0363636
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker75.marker_color.txt     0   0.5   0.138889   81   7.14143    0.01537
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker79.marker_color.txt     0   0.555556   0.0277778   198   9.98694    0.010628
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker94.marker_color.txt     1   0.727273   0.198864   79   11.2964    0.0368814
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker_all_100.marker_color.txt     1   0.6   0.533333   82   13.1402    0.390476
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker_all_252.marker_color.txt     1   0.5   0.3125   112   14.2536    0.0507937
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/18/marker_all_318.marker_color.txt     1   0.684211   0.163968   110   15.5288    0.137845
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker141.marker_color.txt     0   0.388889   0.047619   35   0    0.021875
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker142.marker_color.txt     1   0.142857   0.357143   6   0    0.142857
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker168.marker_color.txt     1   0.333333   0.125   3   0    0.25
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker2.marker_color.txt     0   0.5   0.21875   73   2.09515    0.0219549
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker233.marker_color.txt     1   0.5   0.0821006   300   4.63182    0.0524476
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker263.marker_color.txt     0   1   0.0972222   10   0    0.047619
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker264.marker_color.txt     1   1   0.5   1   0    1
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker268.marker_color.txt     1   1   0.375   3   0    0.75
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker4.marker_color.txt     1   0.5   0.347222   68   1.42719    0.046832
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker90.marker_color.txt     1   0.761905   0.13244   123   2.38347    0.0582386
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker_all_1477.marker_color.txt     0   0.923077   0.105769   84   13.574    0.021978
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker_all_1682.marker_color.txt     1   0.583333   0.267857   94   0.983041    0.0395623
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker_all_557.marker_color.txt     1   0.777778   0.452381   92   15.6763    0.127778
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/19/marker_all_691.marker_color.txt     1   0.866667   0.166667   84   0.613484    0.124444
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker203.marker_color.txt     0   0.444444   0.107639   76   15.4624    0.0670194
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker210.marker_color.txt     1   0.454545   0.3   235   16.4725    0.0124339
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker245.marker_color.txt     1   0.5   0.15625   24   5.92465    0.0110599
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker247.marker_color.txt     1   1   0.28   46   9.56089    0.0124459
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker251.marker_color.txt     1   0.4   0.118367   345   22.4595    0.00384123
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker258.marker_color.txt     0   0.172414   0.0187739   506   17.4232    0.0017054
/media/lxf/8213-B4FE/7_5/take_away/data_for_Y/test/signal/20/marker261.marker_color.txt     1   0.75   0.166667   22   7.24106    0.0218254
